TIMESTAMP,median,p05,p95,density
2025-05-08,1076.2094276041223,1016.1343225586768,1154.274315993171,390.49688955156836
2025-05-09,1095.9303642881832,1018.757070250438,1150.4276561746938,395.3572742742364
2025-05-10,1091.9117142568991,1024.928116334439,1149.5879148545766,404.8615922346678
2025-05-11,1105.4093387238968,1024.5594016009743,1166.84066958126,416.4284568558662
2025-05-12,1126.0042569837553,1084.1654526723535,1200.6685203818706,429.77261716937227
2025-05-13,1113.759262634964,1062.8450193247509,1168.9136113852664,428.45134165607385
2025-05-14,1083.0272372228037,1036.0064599094437,1145.2193583144142,421.2474668311177
2025-05-15,1089.9447914232996,1030.143174738414,1156.5709935765171,419.532252279946
2025-05-16,1099.7504433858476,1046.6233213465696,1162.5551664757504,421.84520267964996
2025-05-17,1116.266885645334,1049.2134471326924,1173.4366616338084,420.28120694477934
2025-05-18,1076.6590112234744,1004.8310567334902,1149.2426879868362,407.67096222017204
2025-05-19,1069.5023944300926,1036.187254725104,1097.8143484755865,408.83119053138097
2025-05-20,1100.789007545825,1027.8265480417522,1155.1077226684347,417.2816556276819
2025-05-21,1114.7896503869488,1067.1519877537744,1167.819536496553,424.8436167633189
2025-05-22,1136.1004122643085,1111.9855447423117,1239.5638362203492,418.6073737156627
2025-05-23,1160.794850313396,1102.6655299987874,1234.040659537458,409.37924539354475
2025-05-24,1146.873707942655,1092.4697666172808,1213.8060238556372,409.23236679488133
2025-05-25,1205.8810618608181,1113.9394975813873,1246.8291731409101,434.7083856744117
2025-05-26,1161.6957524706233,1101.2395682991362,1241.131924005431,420.8280211811713
2025-05-27,1203.610757782374,1138.4322547734653,1278.054571279027,439.75548329644647
2025-05-28,1208.035204128359,1164.6754038417762,1273.2590210098742,440.2460656444457
2025-05-29,1236.8041775170557,1156.9997874080461,1318.6422556823177,446.98380105423047
2025-05-30,1214.8012770222872,1119.1712481238467,1302.5981100680442,445.96228965575887
2025-05-31,1205.625007113962,1148.818355178431,1277.7825027472593,450.70093723886436
2025-06-01,1336.99085641441,1199.9713884476025,1429.0118845626776,508.6516478654784
2025-06-02,1401.4324968576136,1340.1138760192716,1460.885766828118,539.3236470493028
2025-06-03,1396.4269800584746,1300.7045715556292,1463.0641821352272,539.3692468360273
2025-06-04,1352.8104859699451,1290.6310562889732,1430.3145905467072,529.5793642473851
2025-06-05,1293.0834964037808,1188.43853781468,1379.618879857192,511.10019620702803
2025-06-06,1254.0248278527827,1182.349029182644,1358.6566011461396,507.4968951245579
2025-06-07,1176.8224630797085,1101.557166687741,1280.0926708694174,484.987621298046
2025-06-08,1168.1502688239177,1089.7320008432964,1225.4948869324453,493.72369772777586
2025-06-09,1081.6476276069689,985.5399228135636,1192.026307779723,465.82585168258777
2025-06-10,1027.087793545484,984.6604686981206,1114.6439057145174,450.9715888234836
2025-06-11,1017.8027526313498,968.0551457892743,1091.8582660912293,457.43943938487627
2025-06-12,994.7849212548645,934.3748972794501,1061.526717166838,461.6171328328838
2025-06-13,957.9414139531848,843.8413631065913,999.8522546577732,459.77509668979354
2025-06-14,906.8862326221173,829.8716844132606,967.2917046494628,448.2878065358958
2025-06-15,854.5845145922822,814.0939821171711,922.8043871936575,432.59150321046934
2025-06-16,870.8624838772371,797.5081947602262,934.8578946758407,451.22408491048554
2025-06-17,852.0379044412497,811.589786158128,907.734566236678,454.541426749133
2025-06-18,809.0776556020948,748.1833274665494,868.3674404835845,448.86416399561426
2025-06-19,768.0849537898051,727.1235297316438,852.2641485055668,442.9555673528288
2025-06-20,766.8584437903771,678.8072973126376,832.5553881689044,467.59661206730317
2025-06-21,733.9634181515796,662.8860336523685,807.3154259381714,465.4175130954849
2025-06-22,714.5454674229945,625.7417357263876,779.136527093646,471.1806577138111
2025-06-23,658.3441189564148,615.4353434620115,734.5963683637823,457.34221532227497
2025-06-24,614.7871374314275,580.6629744478035,661.1454264749884,458.7963712174832
2025-06-25,567.463376242471,527.0116183528936,626.5423241499683,449.2980017755115
2025-06-26,547.4835169493549,480.11062512518527,601.552440421402,456.04624485577256
2025-06-27,492.03409306207345,439.91096852738997,536.6451727844926,444.4752421518279
2025-06-28,448.2234093187476,395.5155770797069,509.61915388327446,442.03492043268994
2025-06-29,414.5326927299181,367.79140763889876,453.74990501045903,439.123615179998
2025-06-30,372.9189817232026,343.8531593647996,412.3103947557687,443.95116871809836
2025-07-01,360.861404594559,346.27028318687906,388.9886871058119,476.69934556744914
2025-07-02,355.5186086498903,342.14828724029815,363.38948515348426,489.69505323676356
